date,host,algo,numproc,msgsize,hostTime,hostMem,simTime
2015-02-19,parapluie-13-1,basic_linear,316,3404126,336.11,1328428576k,69.198013
2015-02-19,parapluie-13-1,bruck,316,3404126,339.66,1328428368k,69.198013
2015-02-19,parapluie-13-1,ring,316,3404126,291.83,1327878624k,69.597790
2015-02-19,parapluie-13-1,ring_light_barrier,316,3404126,309.72,1327878928k,69.603713
2015-02-19,parapluie-13-1,ring_mpi_barrier,316,3404126,289.96,1327878960k,69.671979
2015-02-19,parapluie-13-1,ring_one_barrier,316,3404126,296.73,1327878864k,69.600366
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,316,3404126,293.20,1327884416k,69.499289
2015-02-19,parapluie-13-1,mvapich2,316,3404126,291.89,1327884560k,69.499285
2015-02-19,parapluie-13-1,ompi,316,3404126,285.65,1327878656k,69.598736
2015-02-19,parapluie-13-1,mpich,316,3404126,285.68,1327878624k,69.598742
2015-02-19,parapluie-13-1,impi,316,3404126,297.27,1327890016k,69.499760
2015-02-19,parapluie-13-1,basic_linear,313,200243,84.14,153595056k,3.867537
2015-02-19,parapluie-13-1,bruck,313,200243,82.56,153595552k,3.867537
2015-02-19,parapluie-13-1,ring,313,200243,59.37,76929120k,3.955457
2015-02-19,parapluie-13-1,ring_light_barrier,313,200243,62.98,76930176k,4.027666
2015-02-19,parapluie-13-1,ring_mpi_barrier,313,200243,67.02,76930432k,4.026081
2015-02-19,parapluie-13-1,ring_one_barrier,313,200243,59.77,76928976k,3.953689
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,313,200243,61.24,77668768k,3.910486
2015-02-19,parapluie-13-1,mvapich2,313,200243,61.11,77669776k,3.910486
2015-02-19,parapluie-13-1,ompi,313,200243,59.35,76929104k,3.955457
2015-02-19,parapluie-13-1,mpich,313,200243,59.54,76929104k,3.955457
2015-02-19,parapluie-13-1,impi,313,200243,60.59,77674240k,3.913297
2015-02-19,parapluie-13-1,basic_linear,111,8602527,91.86,414136640k,10.094100
2015-02-19,parapluie-13-1,bruck,111,8602527,91.45,414136640k,10.094100
2015-02-19,parapluie-13-1,ring,111,8602527,89.03,414072416k,10.144591
2015-02-19,parapluie-13-1,ring_light_barrier,111,8602527,88.17,414072448k,10.151682
2015-02-19,parapluie-13-1,ring_mpi_barrier,111,8602527,88.02,414072576k,10.177878
2015-02-19,parapluie-13-1,ring_one_barrier,111,8602527,86.61,414072560k,10.144913
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,111,8602527,90.84,414073760k,10.106607
2015-02-19,parapluie-13-1,mvapich2,111,8602527,92.47,414073712k,10.106607
2015-02-19,parapluie-13-1,ompi,111,8602527,90.61,414072448k,10.144591
2015-02-19,parapluie-13-1,mpich,111,8602527,90.68,414072432k,10.144591
2015-02-19,parapluie-13-1,impi,111,8602527,95.23,414074784k,10.107861
2015-02-20,graphite-1-0,basic_linear,872,57395,337.93,86300688k,12.396473
2015-02-20,graphite-1-0,bruck,872,57395,364.04,86300896k,12.396473
2015-02-20,graphite-1-0,ring,872,57395,405.16,42688000k,15.721022
2015-02-20,graphite-1-0,ring_light_barrier,872,57395,1249.09,42687476k,12.446272
2015-02-20,graphite-1-0,ring_mpi_barrier,872,57395,319.37,42688420k,12.769663
2015-02-20,graphite-1-0,ring_one_barrier,872,57395,352.53,42688244k,16.693099
2015-02-20,graphite-1-0,mvapich2_scatter_dest,872,57395,394.62,42837960k,14.470320
